Search by Niche: 

Customer Need,Top Search Term 1,Top Search Term 2,Top Search Term 3,Search Volume (Past 360 days),Search Volume Growth (Past 180 days),Search Volume (Past 90 days),Search Volume Growth (Past 90 days),Units Sold Lower Bound (Past 360 days),Units Sold Upper Bound (Past 360 days),Range of Average Units Sold Lower Bound (Past 360 days),Range of Average Units Sold Upper Bound (Past 360 days),# of Top Clicked Products,Average Price (USD),Minimum Price (Past 360 days) (USD),Maximum Price (Past 360 days) (USD),Return Rate (Past 360 days)
"melatonin gummies 3mg","melatonin gummies 3mg","melatonin 3mg gummy","3mg melatonin gummies","54259","-0.0128","14383","0.1439","8000","10000","500","750","17","11.15","5.18","17.35","0.0005"
"mukta vati for high blood pressure","patanjali","mukta vati for high blood pressure","mukta vati","90354","-0.0792","20838","-0.073","10000","12500","1000","1250","12","23.41","7.92","107.05","0.0011"
"magnesium sleep gummies","magnesium sleep gummies","magnesium gummies for sleep","sleep magnesium gummies","61560","0.3701","22202","0.6587","5000","6000","100","250","36","18.14","9.68","35.61","0.0005"
"herbal sleep aid","sleep complex","sleep support supplement","organic sleep aid","82436","0.0316","22400","0.151","3000","4000","0","100","86","24.64","4.84","72.34","0.0006"
"lemon balm capsules","lemon balm capsules","lemon balm supplement","lemon balm supplements","52009","-0.0716","11699","-0.1231","5000","6000","250","500","17","16.29","8.13","40.57","0.0005"
"gummies for pain","cbdmd gummies for sleep","cbc gummies for pain relief extra strength inflammation 1000ml","gummies for pain","198192","0.017","46722","-0.122","6000","8000","0","100","71","26.04","10.34","52.78","0.0005"
"melatonin 5mg time release","melatonin 5mg time release","melatonin time release 5mg","melatonin extended release 5mg","44777","0.3519","12588","-0.0429","8000","10000","250","500","24","13.45","6.9","31.48","0.0005"
"cbn gummies for sleep","cbn gummies for sleep","marijuana gummies","gomitas de marihuana","154476","0.0036","39412","0.0381","3000","4000","0","100","48","26.18","10.34","52.78","0.0005"
"zenleaf gummies 300 mg","zenleaf gummies 300 mg","zenleaf gummies for neuropathy","zenleaf cbd gummies","88811","3.1942","30748","-0.2495","3000","4000","100","250","13","36.49","24.89","47.36","0.0001"
"lemon balm weight loss","lemon balm weight loss","lemon balm for weight loss","mary ruth lemon balm","53432","0.3536","20881","1.1201","2500","3000","100","250","15","17.4","7.41","34.4","0.0004"
"melatonin 2mg","melatonin 2mg","melatonin 2 mg","2mg melatonin","55931","0.0406","15945","0.2677","8000","10000","500","750","14","11.04","5.31","20.03","0.0006"
"travel melatonin","melatonin travel size","travel melatonin","olly sleep tablets","63585","-0.2808","14634","0.2229","6000","8000","250","500","17","12.83","4.69","29.74","0.0006"
"calmpro5","calmpro5","calmpro5 for neuropathy","calm pro 5 for neuropathy","89575","22.6288","28942","-0.4923","8000","10000","250","500","20","33.82","17.98","68.78","0.0002"
"calmify","calmify","calmify liquid anti stress","","60286","2.3318","7965","-0.7926","2500","3000","250","500","6","26.25","19.2","38.92","0.0005"
"lucid dream","gorilla dream","lucid dream","lucid dreaming supplement","49192","0.1027","14067","0.1991","4000","5000","750","1000","8","33.33","20.11","48.23","0.0006"
"qunol sleep","qunol sleep support 5 in 1 sleep aid","qunol sleep","qunol sleep aid","43573","0.594","18125","1.0951","6000","8000","1250","1500","15","19.94","8.3","29.8","0.0005"
"l theanine drops","l theanine drops","l theanine liquid","l-theanine drops","38496","0.0503","11390","0.3671","3000","4000","250","500","10","18.66","10.21","23.66","0.0005"
"extra strength melatonin","extra strength melatonin","strong melatonin for adults","strong melatonin","42356","-0.1056","10973","0.2158","4000","5000","100","250","22","19.65","9.11","36.11","0.0007"
"melatonin 2.5 mg","nature made melatonin gummies","melatonin 2.5 mg","melatonin gummies nature made","33207","0.1312","8883","0.016","6000","8000","250","500","20","12.94","7.61","22.58","0.0005"
"gaba gummies","gaba gummies","gaba gummies for adults","","30042","0.146","8824","0.2223","2500","3000","100","250","24","20.75","8.92","36.67","0.0005"
"valerian root gummies","valerian root gummies","valerian gummies","valerian root for sleep gummies","35322","-0.2666","8103","0.1843","3000","4000","100","250","28","19.78","9.86","32.47","0.0006"
"melatonin 30mg","melatonin 30mg","30 mg melatonin","melatonin 30 mg","29042","0.1791","8488","0.1744","4000","5000","100","250","21","18.23","9.11","36.11","0.0006"
"neuro sleep","neuro sleep","neuro sleep drinks","neurosleep","58550","-0.1544","10880","-0.3177","6000","8000","500","750","7","26.91","19.5","49.51","0.0006"
"lullabites natural sleep gummies","lullabites natural sleep gummies","lullabies sleep gummies","lullabies gummies","60031","0.9975","27400","1.1739","3000","4000","500","750","4","20.72","12.15","28.1","0.0006"
"melatonin 12 mg gummies","natures truth melatonin","melatonin 12 mg gummies","melatonin gummies 12mg","25416","-0.0981","6119","0.0311","5000","6000","250","500","16","12.73","9.27","18.05","0.0008"
"pineal guardian","pineal guardian liquid drops","pineal guardian","","18275","3.5784","8570","0.333","1250","1500","100","250","9","52.77","29.42","92.09","0.0005"
"calm legs","calm legs","calm legs for restless leg syndrome","","18588","-0.1873","2998","-0.4382","2500","3000","250","500","5","17.77","9.99","19.85","0.0006"
"spring valley melatonin 10mg","spring valley melatonin 10mg","spring valley melatonin","melatonin spring valley","33443","0.1564","9900","0.2321","3000","4000","100","250","23","16.58","7.61","38.94","0.0006"
