Niche Name: melatonin gummies
Niche Details - Products Tab
Last updated on 3/29/2025

Product Name,ASIN,Brand,Category,Launch Date,Niche Click Count (Past 360 days),Click Share (Past 360 days),Average Selling Price (Past 360 days) (USD),Total Ratings,Average Customer Rating,Average BSR,Average # of Sellers and Vendors (Past 360 days)
"Zarbees Childrens Sleep Gummies with Melatonin Non-Habit Forming Childrens Sleep Gummies Work with Natural Sleep Cycles to Promote Peaceful Sleep Drug-Free Natural Strawberry 60 ct","B0DBPXDYWT","Zarbee's","Vitamins, Minerals & Supplements/Sleep Supplements","2024-08-01","17414","0.0133","13.71","46905","4.59","4","1"
"OLLY Extra Strength Sleep Gummy 5 mg Melatonin L-Theanine Chamomile Lemon Balm Sleep Aid BlackBerry - 50 Count","B07RN1Z2RL","OLLY","Vitamins, Minerals & Supplements/Sleep Supplements","2017-11-07","26158","0.02","13.67","2446","4.4","17","94"
"Vitafusion Extra Strength Melatonin Gummy Vitamins 5mg 120 ct Gummies","B00OJMZSWU","Vitafusion","Vitamins, Minerals & Supplements/Sleep Supplements","2014-10-15","41462","0.0318","10.5","23784","4.59","275","65"
"OLLY Sleep Gummy 3 mg Melatonin L-Theanine Chamomile Lemon Balm Sleep Aid Blackberry 50 Count","B0145QI7O0","OLLY","Vitamins, Minerals & Supplements/Sleep Supplements","2015-08-19","32021","0.0245","12.15","43826","4.4","152","115"
"Natures Bounty 10 mg Melatonin Gummy 100% Drug Free Sleep Supplement 10 mg Blueberry 140 Ct","B09SRT7NBV","Nature's Bounty","Vitamins, Minerals & Supplements/Sleep Supplements","2022-02-17","8214","0.0063","11.48","348","4.59","182","65"
"Natrol Kids Melatonin Gummies 1mg Childrens Melatonin for Restful Sleep 90 Raspberry-Flavored Sleep Gummies 90 Day Supply","B07VMJMZNP","Natrol","Vitamins, Minerals & Supplements/Sleep Supplements","2019-08-19","21140","0.0162","10.72","20341","4.7","9","72"
"ZzzQuil Pure Zzzs Advanced Melatonin Gummies Melatonin 10mg Sleep Aid with Chamomile & Lavender Melatonin Sleep Gummies Sleep Aids for Adults Berry Flavored 100 Sleep Gummies","B0CY2Y5THW","ZzzQuil","Vitamins, Minerals & Supplements/Sleep Supplements","2024-05-09","21249","0.0163","25.83","442","4.4","69","1"
"Nature Made Melatonin 10 mg per serving Gummies Sleep Gummies for Adults Maximum Strength Dosage 100% Drug Free Sleep Aid 120 Count 60 Day Supply","B08FNFMV5C","Nature Made","Vitamins, Minerals & Supplements/Sleep Supplements","2020-08-07","21279","0.0163","16.44","9735","4.59","43","61"
"Lemme Sleep Gummies with 5mg Melatonin Elderberry Magnesium L-Theanine Chamomile and Lavender Drug-Free Nighttime Sleep Aid Gluten Free Gelatin Free Non GMO Berry Flavored (60 Count)","B0BL79D45P","Lemme","Vitamins, Minerals & Supplements/Sleep Supplements","2022-12-05","10558","0.0081","28.85","1888","4","9","60"
"Nature Made Melatonin 10mg per serving Gummies Maximum Strength Dosage 100% Drug Free Sleep Aid for Adults 60 Melatonin Gummies 30 Day Supply","B085V5TX3L","Nature Made","Vitamins, Minerals & Supplements/Sleep Supplements","2020-03-05","11893","0.0091","12.84","9735","4.59","43","15"
"Melatonin 30mg Gummies for Adults (60 Servings) - Maximum Strength Sleep Aid with 30mg of Melatonin Per Gummy - Gluten-Free Sugar-Free Non-GMO 100% Vegetarian Strawberry Flavor - 60 Gummies","B0C668TZV4","Just Nutrients","Vitamins, Minerals & Supplements/Sleep Supplements","2023-05-24","14143","0.0108","15.06","1089","4.4","78","2"
"Natures Wonder Drug-Free Melatonin 10 mg Gummies for Adult Sleep Health 100% Drug Free Sleep aid Promote Healthy Sleep and Wake Rhythm and Patterns 45 Day Supply 90 Count","B0DD1MF4VL","Nature's Wonder","Vitamins, Minerals & Supplements/Sleep Supplements","2024-09-30","4479","0.0034","7.35","63","4.3","708","1"
"Carlyle Melatonin Gummies 12mg | 100 Count | Berry Flavor | Vegan Supplement | Non-GMO Gluten Free","B0B4KKG5M7","Carlyle","Vitamins, Minerals & Supplements/Sleep Supplements","2022-06-20","22588","0.0173","9.98","1946","4.5","135","2"
"Nature Made Melatonin 10mg per serving Gummies Maximum Strength Dosage 100% Drug Free Sleep Aid for Adults 70 Melatonin Gummies 35 Day Supply","B07Q5VJQC8","Nature Made","Vitamins, Minerals & Supplements/Sleep Supplements","2019-03-01","20615","0.0158","9.97","9735","4.59","43","55"
"Goli Dreamy Sleep Gummy - 60 Count - Melatonin Vitamin D Magnesium and Lemon Balm Extract - Gelatin-Free Gluten-Free Vegan & Non-GMO","B0B112CGL5","Goli","Vitamins, Minerals & Supplements/Sleep Supplements","2022-05-31","4646","0.0035","14.98","3673","4.3","52","3"
"Carlyle Melatonin Gummies 10mg | 180 Count | Adult Drug Free Aid | Berry Flavor | Vegan Non-GMO Gluten Free Supplement","B085N3TQ84","Carlyle","Vitamins, Minerals & Supplements/Sleep Supplements","2020-02-18","12038","0.0092","15.46","5844","4.59","150","2"
"OLLY Extra Strength Sleep Gummy 5 mg Melatonin L-Theanine Chamomile Lemon Balm Extracts Sleep Aid BlackBerry Flavor - 120 Count","B09S3F7YSY","OLLY","Vitamins, Minerals & Supplements/Sleep Supplements","2022-02-08","8148","0.0062","27.38","10161","4.4","29","8"
